Time(ms),pt_a003,pt_a009,lc_a016,lc_a017,lc_a018,lc_a019,lc_a020,lc_a021,log_enable_tkbk,log_enable_cmd,sv_a010_tkbk,sv_a010_cmd,sv_a011_tkbk,sv_a011_cmd,sv_a012_tkbk,sv_a012_cmd,sv_a013_tkbk,sv_a013_cmd,sv_a014_tkbk,sv_a014_cmd,sv_a015_tkbk,sv_a015_cmd
451268,-1.0,-1.0,0.0,-3261.0,-1.0,-7450.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
451350,-1.0,-1.0,0.0,-3086.0,-1.0,-7440.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
451442,-1.0,-1.0,0.0,-3174.0,-1.0,-7369.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
451527,-1.0,-1.0,0.0,-3010.0,-1.0,-7326.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
451619,-1.0,-1.0,0.0,-2957.0,-1.0,-7548.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
451698,-1.0,-1.0,0.0,-3088.0,-1.0,-7522.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
451799,-1.0,-1.0,0.0,-2994.0,-1.0,-7298.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
451863,-1.0,-1.0,0.0,-2988.0,-1.0,-7616.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
451958,-1.0,-1.0,0.0,-3032.0,-1.0,-7469.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
452056,-1.0,-1.0,0.0,-2997.0,-1.0,-7407.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
452153,-1.0,-1.0,0.0,-3029.0,-1.0,-7509.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
452214,-1.0,-1.0,0.0,-3009.0,-1.0,-7477.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
452310,-1.0,-1.0,0.0,-2935.0,-1.0,-7477.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
452400,-1.0,-1.0,0.0,-3094.0,-1.0,-7661.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
452479,-1.0,-1.0,0.0,-2920.0,-1.0,-7649.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
452553,-1.0,-1.0,0.0,-2944.0,-1.0,-7443.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
452628,-1.0,-1.0,0.0,-2988.0,-1.0,-7320.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
452704,-1.0,-1.0,0.0,-3065.0,-1.0,-7490.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
452799,-1.0,-1.0,0.0,-2961.0,-1.0,-7413.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
452871,-1.0,-1.0,0.0,-2988.0,-1.0,-7602.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
452962,-1.0,-1.0,0.0,-2980.0,-1.0,-7413.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
453054,-1.0,-1.0,0.0,-2926.0,-1.0,-7282.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
453127,-1.0,-1.0,0.0,-2790.0,-1.0,-7526.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
453198,-1.0,-1.0,0.0,-2921.0,-1.0,-7391.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
453305,-1.0,-1.0,0.0,-3105.0,-1.0,-7319.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
453382,-1.0,-1.0,0.0,-3056.0,-1.0,-7530.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
453490,-1.0,-1.0,0.0,-2757.0,-1.0,-7576.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
453551,-1.0,-1.0,0.0,-2943.0,-1.0,-7245.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
453642,-1.0,-1.0,0.0,-2903.0,-1.0,-7539.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
453720,-1.0,-1.0,0.0,-2858.0,-1.0,-7413.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
453816,-1.0,-1.0,0.0,-2780.0,-1.0,-7425.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
453892,-1.0,-1.0,0.0,-2858.0,-1.0,-7392.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
453967,-1.0,-1.0,0.0,-2913.0,-1.0,-7354.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
454041,-1.0,-1.0,0.0,-2777.0,-1.0,-7476.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
454149,-1.0,-1.0,0.0,-2875.0,-1.0,-7395.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
454212,-1.0,-1.0,0.0,-2967.0,-1.0,-7661.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
454307,-1.0,-1.0,0.0,-2994.0,-1.0,-7409.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
454386,-1.0,-1.0,0.0,-2717.0,-1.0,-7620.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
454476,-1.0,-1.0,0.0,-2805.0,-1.0,-7411.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
454567,-1.0,-1.0,0.0,-2918.0,-1.0,-7467.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
454660,-1.0,-1.0,0.0,-2910.0,-1.0,-7340.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
454734,-1.0,-1.0,0.0,-2870.0,-1.0,-7447.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
