Time(ms),pt_a003,pt_a009,lc_a016,lc_a017,lc_a018,lc_a019,lc_a020,lc_a021,log_enable_tkbk,log_enable_cmd,sv_a010_tkbk,sv_a010_cmd,sv_a011_tkbk,sv_a011_cmd,sv_a012_tkbk,sv_a012_cmd,sv_a013_tkbk,sv_a013_cmd,sv_a014_tkbk,sv_a014_cmd,sv_a015_tkbk,sv_a015_cmd
1484069,2781.0,2795.0,0.0,-9151.0,-1.0,-6322.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1484147,2780.0,2793.0,0.0,-9193.0,-1.0,-6284.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1484240,2777.0,2794.0,0.0,-9260.0,-1.0,-6308.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1484330,2786.0,2796.0,0.0,-9227.0,-1.0,-6192.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1484428,2781.0,2787.0,0.0,-9106.0,-1.0,-6238.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1484503,2789.0,2805.0,0.0,-9264.0,-1.0,-6106.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1484596,2781.0,2792.0,0.0,-9321.0,-1.0,-6044.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1484684,2784.0,2791.0,0.0,-9321.0,-1.0,-6309.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1484782,2780.0,2792.0,0.0,-9252.0,-1.0,-6182.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1484843,2789.0,2796.0,0.0,-9276.0,-1.0,-6147.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1484936,2784.0,2795.0,0.0,-9448.0,-1.0,-6201.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1485038,2789.0,2796.0,0.0,-9356.0,-1.0,-6146.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1485119,2783.0,2794.0,0.0,-9392.0,-1.0,-6506.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1485220,2787.0,2797.0,0.0,-9232.0,-1.0,-6005.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1485318,2778.0,2794.0,0.0,-9217.0,-1.0,-6078.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1485401,2781.0,2796.0,0.0,-9400.0,-1.0,-6195.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1485496,2779.0,2791.0,0.0,-9491.0,-1.0,-6057.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
