Time(ms),pt_a003,pt_a009,lc_a016,lc_a017,lc_a018,lc_a019,lc_a020,lc_a021,log_enable_tkbk,log_enable_cmd,sv_a010_tkbk,sv_a010_cmd,sv_a011_tkbk,sv_a011_cmd,sv_a012_tkbk,sv_a012_cmd,sv_a013_tkbk,sv_a013_cmd,sv_a014_tkbk,sv_a014_cmd,sv_a015_tkbk,sv_a015_cmd
1924872,2740.0,2750.0,0.0,1155799.0,8388607.0,-7561.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1924950,2740.0,2751.0,0.0,1156723.0,8388607.0,-7580.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1925042,2745.0,2750.0,0.0,1157903.0,8388607.0,-7444.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1925144,2742.0,2751.0,0.0,1158191.0,8388607.0,-7549.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1925219,2738.0,2752.0,0.0,1156774.0,8388607.0,-7526.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1925297,2740.0,2754.0,0.0,1155503.0,8388607.0,-7532.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1925392,2742.0,2749.0,0.0,1158250.0,8388607.0,-7630.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1925481,2740.0,2752.0,0.0,1157659.0,8388607.0,-7699.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1925574,2739.0,2752.0,0.0,1156514.0,8388607.0,-7710.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1925649,2742.0,2752.0,0.0,1156503.0,8388607.0,-7539.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1925724,2744.0,2753.0,0.0,1157401.0,8388607.0,-7357.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1925800,2749.0,2758.0,0.0,1157983.0,8388607.0,-7357.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1925901,2740.0,2751.0,0.0,1155946.0,8388607.0,-7427.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1925986,2742.0,2750.0,0.0,1157220.0,8388607.0,-7609.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1926083,2739.0,2750.0,0.0,1157000.0,8388607.0,-7595.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1926168,2742.0,2752.0,0.0,1156125.0,8388607.0,-7319.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1926266,2746.0,2751.0,0.0,1158082.0,8388607.0,-7654.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1926358,2742.0,2751.0,0.0,1154729.0,8388607.0,-7493.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1926449,2745.0,2751.0,0.0,1157853.0,8388607.0,-7501.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1926539,2744.0,2748.0,0.0,1156136.0,8388607.0,-7330.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1926626,2742.0,2751.0,0.0,1154283.0,8388607.0,-7297.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1926717,2739.0,2754.0,0.0,1158192.0,8388607.0,-7462.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1926808,2740.0,2754.0,0.0,1157891.0,8388607.0,-7531.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1926904,2746.0,2753.0,0.0,1156640.0,8388607.0,-7433.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1926992,2736.0,2749.0,0.0,1158530.0,8388607.0,-7514.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1927066,2740.0,2753.0,0.0,1156346.0,8388607.0,-7488.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1927154,2745.0,2752.0,0.0,1157065.0,8388607.0,-7538.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1927241,2739.0,2750.0,0.0,1157322.0,8388607.0,-7438.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1927335,2740.0,2751.0,0.0,1156978.0,8388607.0,-7440.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1927427,2744.0,2752.0,0.0,1157598.0,8388607.0,-7296.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1927502,2743.0,2750.0,0.0,1156443.0,8388607.0,-7369.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1927580,2745.0,2756.0,0.0,1157892.0,8388607.0,-7647.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1927672,2741.0,2751.0,0.0,1155665.0,8388607.0,-7392.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1927742,2739.0,2753.0,0.0,1157955.0,8388607.0,-7612.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1927847,2743.0,2751.0,0.0,1156800.0,8388607.0,-7490.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1927924,2740.0,2756.0,0.0,1155808.0,8388607.0,-7543.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1928025,2743.0,2751.0,0.0,1157216.0,8388607.0,-7606.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1928101,2746.0,2756.0,0.0,1156572.0,8388607.0,-7662.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1928195,2742.0,2751.0,0.0,1156115.0,8388607.0,-7291.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1928274,2739.0,2751.0,0.0,1157188.0,8388607.0,-7452.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1928366,2739.0,2752.0,0.0,1156792.0,8388607.0,-7429.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1928447,2743.0,2751.0,0.0,1157440.0,8388607.0,-7533.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1928542,2740.0,2751.0,0.0,1156559.0,8388607.0,-7653.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1928617,2739.0,2753.0,0.0,1156229.0,8388607.0,-7637.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1928723,2739.0,2748.0,0.0,1155572.0,8388607.0,-7574.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1928797,2741.0,2754.0,0.0,1158513.0,8388607.0,-7580.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1928869,2742.0,2749.0,0.0,1156528.0,8388607.0,-7443.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1928959,2745.0,2756.0,0.0,1156508.0,8388607.0,-7578.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1929051,2739.0,2751.0,0.0,1157151.0,8388607.0,-7419.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1929125,2741.0,2750.0,0.0,1157473.0,8388607.0,-7635.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1929214,2742.0,2752.0,0.0,1156615.0,8388607.0,-7464.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
