Time(ms),pt_a003,pt_a009,lc_a016,lc_a017,lc_a018,lc_a019,lc_a020,lc_a021,log_enable_tkbk,log_enable_cmd,sv_a010_tkbk,sv_a010_cmd,sv_a011_tkbk,sv_a011_cmd,sv_a012_tkbk,sv_a012_cmd,sv_a013_tkbk,sv_a013_cmd,sv_a014_tkbk,sv_a014_cmd,sv_a015_tkbk,sv_a015_cmd
808329,-1.0,-1.0,0.0,-27962.0,-1.0,-7400.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
808409,-1.0,-1.0,0.0,-27870.0,-1.0,-7243.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
808502,-1.0,-1.0,0.0,-27876.0,-1.0,-7408.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
808592,-1.0,-1.0,0.0,-27942.0,-1.0,-7281.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
808666,-1.0,-1.0,0.0,-27778.0,-1.0,-7232.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
808744,-1.0,-1.0,0.0,-27855.0,-1.0,-7584.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
808836,-1.0,-1.0,0.0,-27938.0,-1.0,-7435.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
808937,-1.0,-1.0,0.0,-28035.0,-1.0,-7341.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
808996,-1.0,-1.0,0.0,-27886.0,-1.0,-7258.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
809089,-1.0,-1.0,0.0,-28024.0,-1.0,-7478.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
809144,-1.0,-1.0,0.0,-27862.0,-1.0,-7336.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
809252,-1.0,-1.0,0.0,-27844.0,-1.0,-7175.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
809330,-1.0,-1.0,0.0,-27807.0,-1.0,-7360.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
809407,-1.0,-1.0,0.0,-27909.0,-1.0,-7382.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
809506,-1.0,-1.0,0.0,-27830.0,-1.0,-7276.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
809589,-1.0,-1.0,0.0,-27852.0,-1.0,-7449.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
809665,-1.0,-1.0,0.0,-27789.0,-1.0,-7385.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
809776,-1.0,-1.0,0.0,-27826.0,-1.0,-7417.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
809850,-1.0,-1.0,0.0,-27860.0,-1.0,-7349.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
809941,-1.0,-1.0,0.0,-27860.0,-1.0,-7366.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
810040,-1.0,-1.0,0.0,-27859.0,-1.0,-7344.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
810135,-1.0,-1.0,0.0,-27977.0,-1.0,-7326.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
810208,-1.0,-1.0,0.0,-27902.0,-1.0,-7323.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
810301,-1.0,-1.0,0.0,-27763.0,-1.0,-7453.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
810396,-1.0,-1.0,0.0,-27835.0,-1.0,-7242.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
810472,-1.0,-1.0,0.0,-27837.0,-1.0,-7291.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
810566,-1.0,-1.0,0.0,-27802.0,-1.0,-7219.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
810664,-1.0,-1.0,0.0,-27790.0,-1.0,-7399.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
810740,-1.0,-1.0,0.0,-27972.0,-1.0,-7467.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
810834,-1.0,-1.0,0.0,-27884.0,-1.0,-7259.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
810909,-1.0,-1.0,0.0,-27816.0,-1.0,-7285.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811007,-1.0,-1.0,0.0,-27819.0,-1.0,-7383.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811083,-1.0,-1.0,0.0,-27727.0,-1.0,-7297.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811176,-1.0,-1.0,0.0,-27831.0,-1.0,-7123.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811253,-1.0,-1.0,0.0,-27678.0,-1.0,-7374.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811331,-1.0,-1.0,0.0,-27997.0,-1.0,-7440.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811431,-1.0,-1.0,0.0,-27947.0,-1.0,-7568.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811505,-1.0,-1.0,0.0,-27830.0,-1.0,-7366.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811583,-1.0,-1.0,0.0,-27825.0,-1.0,-7429.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811673,-1.0,-1.0,0.0,-27748.0,-1.0,-7329.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811751,-1.0,-1.0,0.0,-27930.0,-1.0,-7314.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811844,-1.0,-1.0,0.0,-27913.0,-1.0,-7399.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811901,-1.0,-1.0,0.0,-27755.0,-1.0,-7417.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811993,-1.0,-1.0,0.0,-27917.0,-1.0,-7274.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
812086,-1.0,-1.0,0.0,-27763.0,-1.0,-7177.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
812180,-1.0,-1.0,0.0,-27815.0,-1.0,-7207.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
812253,-1.0,-1.0,0.0,-27828.0,-1.0,-7488.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
812344,-1.0,-1.0,0.0,-27651.0,-1.0,-7477.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
812432,-1.0,-1.0,0.0,-27949.0,-1.0,-7419.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
812540,-1.0,-1.0,0.0,-27984.0,-1.0,-7123.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
812599,-1.0,-1.0,0.0,-27983.0,-1.0,-7552.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
812704,-1.0,-1.0,0.0,-27869.0,-1.0,-7177.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
812778,-1.0,-1.0,0.0,-27841.0,-1.0,-7313.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
812883,-1.0,-1.0,0.0,-28046.0,-1.0,-7071.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
812956,-1.0,-1.0,0.0,-27881.0,-1.0,-7122.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
813067,-1.0,-1.0,0.0,-27859.0,-1.0,-7190.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
813147,-1.0,-1.0,0.0,-27840.0,-1.0,-7262.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
