Time(ms),pt_a003,pt_a009,lc_a016,lc_a017,lc_a018,lc_a019,lc_a020,lc_a021,log_enable_tkbk,log_enable_cmd,sv_a010_tkbk,sv_a010_cmd,sv_a011_tkbk,sv_a011_cmd,sv_a012_tkbk,sv_a012_cmd,sv_a013_tkbk,sv_a013_cmd,sv_a014_tkbk,sv_a014_cmd,sv_a015_tkbk,sv_a015_cmd
1694952,2739.0,2749.0,0.0,452308.0,8388607.0,-7699.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1695049,2743.0,2751.0,0.0,452126.0,8388607.0,-7371.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1695110,2746.0,2758.0,0.0,452299.0,8388607.0,-7411.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1695222,2743.0,2751.0,0.0,452201.0,8388607.0,-7596.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1695294,2744.0,2754.0,0.0,451831.0,8388607.0,-7579.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1695404,2743.0,2752.0,0.0,451936.0,8388607.0,-7503.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1695478,2741.0,2751.0,0.0,452247.0,8388607.0,-7761.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1695574,2742.0,2754.0,0.0,452279.0,8388607.0,-7647.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1695654,2748.0,2756.0,0.0,452167.0,8388607.0,-7388.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1695745,2742.0,2755.0,0.0,452138.0,8388607.0,-7614.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1695835,2742.0,2752.0,0.0,452150.0,8388607.0,-7344.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1695931,2740.0,2755.0,0.0,452191.0,8388607.0,-7437.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1695994,2743.0,2752.0,0.0,452032.0,8388607.0,-7340.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1696090,2744.0,2751.0,0.0,451964.0,8388607.0,-7512.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1696189,2742.0,2752.0,0.0,452121.0,8388607.0,-7425.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1696280,2744.0,2748.0,0.0,452046.0,8388607.0,-7765.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1696336,2742.0,2751.0,0.0,452169.0,8388607.0,-7570.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
