Time(ms),pt_a003,pt_a009,lc_a016,lc_a017,lc_a018,lc_a019,lc_a020,lc_a021,log_enable_tkbk,log_enable_cmd,sv_a010_tkbk,sv_a010_cmd,sv_a011_tkbk,sv_a011_cmd,sv_a012_tkbk,sv_a012_cmd,sv_a013_tkbk,sv_a013_cmd,sv_a014_tkbk,sv_a014_cmd,sv_a015_tkbk,sv_a015_cmd
1750193,2743.0,2754.0,0.0,517045.0,8388607.0,-7823.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1750268,2739.0,2751.0,0.0,516935.0,8388607.0,-7478.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1750358,2745.0,2752.0,0.0,516920.0,8388607.0,-7678.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1750453,2739.0,2752.0,0.0,516849.0,8388607.0,-7609.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1750541,2739.0,2750.0,0.0,516919.0,8388607.0,-7406.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1750615,2744.0,2751.0,0.0,516878.0,8388607.0,-7531.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1750709,2742.0,2755.0,0.0,516905.0,8388607.0,-7442.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1750807,2741.0,2751.0,0.0,517255.0,8388607.0,-7415.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1750903,2739.0,2751.0,0.0,517125.0,8388607.0,-7382.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1750956,2743.0,2751.0,0.0,516986.0,8388607.0,-7490.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1751047,2742.0,2750.0,0.0,516838.0,8388607.0,-7616.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1751137,2743.0,2756.0,0.0,516734.0,8388607.0,-7534.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1751232,2746.0,2751.0,0.0,516790.0,8388607.0,-7522.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1751308,2745.0,2751.0,0.0,517028.0,8388607.0,-7326.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1751386,2741.0,2749.0,0.0,516692.0,8388607.0,-7719.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1751463,2745.0,2756.0,0.0,516975.0,8388607.0,-7602.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1751570,2742.0,2754.0,0.0,516956.0,8388607.0,-7455.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1751660,2744.0,2752.0,0.0,517186.0,8388607.0,-7341.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1751749,2741.0,2751.0,0.0,516966.0,8388607.0,-7405.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1751825,2749.0,2756.0,0.0,516769.0,8388607.0,-7423.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1751920,2742.0,2751.0,0.0,516728.0,8388607.0,-7415.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1752015,2741.0,2751.0,0.0,516972.0,8388607.0,-7598.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1752108,2741.0,2754.0,0.0,516751.0,8388607.0,-7374.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1752184,2742.0,2751.0,0.0,516827.0,8388607.0,-7436.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1752293,2744.0,2748.0,0.0,516982.0,8388607.0,-7376.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1752365,2744.0,2750.0,0.0,516702.0,8388607.0,-7503.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1752454,2741.0,2749.0,0.0,516908.0,8388607.0,-7588.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1752547,2742.0,2749.0,0.0,516983.0,8388607.0,-7353.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1752637,2744.0,2752.0,0.0,516776.0,8388607.0,-7475.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1752709,2739.0,2751.0,0.0,516660.0,8388607.0,-7381.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1752782,2743.0,2749.0,0.0,516807.0,8388607.0,-7236.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1752875,2745.0,2758.0,0.0,516530.0,8388607.0,-7529.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1752969,2742.0,2750.0,0.0,516708.0,8388607.0,-7414.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1753047,2742.0,2749.0,0.0,516770.0,8388607.0,-7478.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1753120,2741.0,2749.0,0.0,516482.0,8388607.0,-7625.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1753213,2750.0,2755.0,0.0,516735.0,8388607.0,-7608.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1753324,2742.0,2751.0,0.0,516864.0,8388607.0,-7364.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1753402,2744.0,2751.0,0.0,516822.0,8388607.0,-7534.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1753495,2742.0,2754.0,0.0,516718.0,8388607.0,-7352.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1753572,2746.0,2754.0,0.0,516446.0,8388607.0,-7363.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1753666,2742.0,2751.0,0.0,516530.0,8388607.0,-7277.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1753757,2741.0,2754.0,0.0,516784.0,8388607.0,-7635.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1753847,2746.0,2752.0,0.0,516818.0,8388607.0,-7670.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1753936,2741.0,2756.0,0.0,516668.0,8388607.0,-7623.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1754035,2742.0,2751.0,0.0,516972.0,8388607.0,-7384.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1754095,2742.0,2753.0,0.0,516425.0,8388607.0,-7328.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1754205,2739.0,2756.0,0.0,516702.0,8388607.0,-7395.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1754278,2742.0,2754.0,0.0,516741.0,8388607.0,-7317.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1754366,2742.0,2751.0,0.0,516650.0,8388607.0,-7482.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1754438,2742.0,2748.0,0.0,516461.0,8388607.0,-7425.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1754525,2739.0,2756.0,0.0,516607.0,8388607.0,-7760.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1754622,2745.0,2758.0,0.0,516543.0,8388607.0,-7648.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1754714,2745.0,2749.0,0.0,516456.0,8388607.0,-7345.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1754787,2744.0,2756.0,0.0,516664.0,8388607.0,-7381.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1754859,2742.0,2752.0,0.0,516431.0,8388607.0,-7568.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1754948,2749.0,2754.0,0.0,516639.0,8388607.0,-7525.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1755065,2742.0,2754.0,0.0,516585.0,8388607.0,-7454.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1755138,2740.0,2751.0,0.0,516620.0,8388607.0,-7642.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1755230,2743.0,2748.0,0.0,516468.0,8388607.0,-7611.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1755321,2749.0,2756.0,0.0,516442.0,8388607.0,-7377.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1755408,2741.0,2752.0,0.0,516408.0,8388607.0,-7518.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1755499,2746.0,2754.0,0.0,516434.0,8388607.0,-7461.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1755591,2740.0,2754.0,0.0,516464.0,8388607.0,-7709.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1755667,2745.0,2758.0,0.0,516488.0,8388607.0,-7614.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1755778,2744.0,2754.0,0.0,516541.0,8388607.0,-7348.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1755837,2741.0,2758.0,0.0,516311.0,8388607.0,-7511.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1755947,2745.0,2754.0,0.0,516526.0,8388607.0,-7499.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1756027,2744.0,2754.0,0.0,516649.0,8388607.0,-7357.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1756115,2743.0,2754.0,0.0,516451.0,8388607.0,-7818.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1756190,2742.0,2751.0,0.0,516251.0,8388607.0,-7424.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1756283,2739.0,2755.0,0.0,516376.0,8388607.0,-7597.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1756362,2750.0,2755.0,0.0,516338.0,8388607.0,-7588.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
