Time(ms),pt_a003,pt_a009,lc_a016,lc_a017,lc_a018,lc_a019,lc_a020,lc_a021,log_enable_tkbk,log_enable_cmd,sv_a010_tkbk,sv_a010_cmd,sv_a011_tkbk,sv_a011_cmd,sv_a012_tkbk,sv_a012_cmd,sv_a013_tkbk,sv_a013_cmd,sv_a014_tkbk,sv_a014_cmd,sv_a015_tkbk,sv_a015_cmd
1020546,2742.0,2754.0,0.0,181927.0,8388607.0,-7442.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1020611,2743.0,2755.0,0.0,181986.0,8388607.0,-7397.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1020701,2742.0,2751.0,0.0,182049.0,8388607.0,-7436.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1020793,2739.0,2752.0,0.0,182075.0,8388607.0,-7426.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1020888,2739.0,2751.0,0.0,181980.0,8388607.0,-7414.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1020963,2742.0,2747.0,0.0,181975.0,8388607.0,-7397.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1021074,2738.0,2751.0,0.0,182096.0,8388607.0,-7491.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1021136,2742.0,2748.0,0.0,181741.0,8388607.0,-7407.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1021228,2739.0,2750.0,0.0,182097.0,8388607.0,-7583.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1021321,2740.0,2755.0,0.0,181940.0,8388607.0,-7452.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1021413,2740.0,2752.0,0.0,182023.0,8388607.0,-7571.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1021501,2742.0,2752.0,0.0,182213.0,8388607.0,-7440.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1021600,2740.0,2755.0,0.0,182082.0,8388607.0,-7441.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1021684,2739.0,2752.0,0.0,181668.0,8388607.0,-7311.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1021784,2739.0,2749.0,0.0,181796.0,8388607.0,-7421.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1021860,2742.0,2752.0,0.0,181828.0,8388607.0,-7720.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1021954,2742.0,2748.0,0.0,181861.0,8388607.0,-7541.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1022040,2739.0,2753.0,0.0,181953.0,8388607.0,-7310.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1022115,2737.0,2751.0,0.0,181863.0,8388607.0,-7705.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1022211,2742.0,2754.0,0.0,181735.0,8388607.0,-7318.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1022309,2742.0,2754.0,0.0,181912.0,8388607.0,-7569.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1022369,2739.0,2754.0,0.0,181850.0,8388607.0,-7508.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1022464,2743.0,2750.0,0.0,181659.0,8388607.0,-7722.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1022555,2747.0,2759.0,0.0,182058.0,8388607.0,-7542.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1022652,2738.0,2749.0,0.0,181886.0,8388607.0,-7651.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1022746,2738.0,2750.0,0.0,182036.0,8388607.0,-7495.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1022821,2737.0,2753.0,0.0,181819.0,8388607.0,-7459.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1022899,2745.0,2755.0,0.0,181744.0,8388607.0,-7593.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
